business_id,name,business_type,address,city,zip,phone,status,lat,long,opened_date,distance
211898487641,MOBIL MART LA JOLLA VILLAGE,Pre-Packaged Retail Market,"3233 LA JOLLA VILLAGE DR, LA JOLLA, CA 92037",LA JOLLA,92037,858-453-8153,Permit Renewed,32.8712012,-117.2333282,2002-05-05,0.62
211930769329,CAFE 477,Low Risk Food Facility,"8950 VILLA LA JOLLA DR, SUITE# B123, LA JOLLA, CA 92037-1704",LA JOLLA,92037-1704,858-900-1400,Issued,32.8709043,-117.2352156,2023-07-24,0.64
211909057778,VALLEY FARM MARKET,Retail Market with Deli,"6902 LA JOLLA BLVD, LA JOLLA, CA 92037",LA JOLLA,92037,619-463-9595,Permit Renewed,32.8709043,-117.2352156,2019-01-22,0.64
211921416009,INTERNATIONAL COFFEE,Single Operating Site,"9888 GENESEE AVE, LA JOLLA, CA 92037-1205",LA JOLLA,92037-1205,858-254-1271,Permit Renewed,32.8850971,-117.2236711,2020-11-20,0.69
211898851506,LA JOLLA DISCOUNT PHARMACY,Miscellaneous Food Facility,"9850 GENESEE AVE, LA JOLLA, CA 92037",LA JOLLA,92037,858-622-1800,Permit Renewed,32.8850971,-117.2236711,2002-05-05,0.69
211899343483,MARRIOTT RESIDENCE INN,Restaurant Food Facility,"8901 GILMAN DR, LA JOLLA, CA 92037",LA JOLLA,92037,858-587-1770,Permit Renewed,32.870482,-117.2369927,2002-05-05,0.69
211898390704,SCRIPPS HOSPITAL CAFETERIA,Licensed Health Care Facility,"9888 GENESEE AVE, LA JOLLA, CA 92037",LA JOLLA,92037,858-626-4123,Permit Renewed,32.8850971,-117.2236711,2002-05-05,0.69
211899235737,SCRIPPS MEMORIAL HOSP GIFT SHP,Miscellaneous Food Facility,"9888 GENESEE AVE, LA JOLLA, CA 92037",LA JOLLA,92037,858-626-6078,Permit Renewed,32.8850971,-117.2236711,2003-01-09,0.69
211937725294,SCRIPPS MEMORIAL HOSPITAL SCHAETZEL,Licensed Health Care Facility,"9890 GENESEE AVE, LA JOLLA, CA 92037",LA JOLLA,92037,858-625-6065,Permit Renewed,32.8850971,-117.2236711,2014-05-28,0.69
211899041875,SHERATON HOTEL LA JOLLA,Restaurant Food Facility,"3299 HOLIDAY CT, LA JOLLA, CA 92037",LA JOLLA,92037,858-453-5500,Permit Renewed,32.8704512,-117.2312825,2002-05-05,0.69
211899579775,DOMINOS PIZZA #8407,Restaurant Food Facility,"3211 HOLIDAY CT, LA JOLLA, CA 92037",LA JOLLA,92037,858-752-8273,Permit Renewed,32.8699745,-117.2331185,2012-08-03,0.70
211947553350,ESTANCIA LA JOLLA HOTEL AND SPA,Satellite Food Service Operation,"9700 N TORREY PINES RD, LA JOLLA, CA 92037",LA JOLLA,92037,858-964-6640,Issued,32.8847122,-117.2447842,2023-03-23,0.70
211974385162,ESTANCIA LA JOLLA HOTEL AND SPA,Restaurant Food Facility,"9700 N TORREY PINES RD, LA JOLLA, CA 92037",LA JOLLA,92037,858-964-6640,Permit Renewed,32.8847122,-117.2447842,2022-03-01,0.70
211899236131,INTERNATIONAL MARKET & GRILL,Restaurant Food Facility,"3211 HOLIDAY CT, LA JOLLA, CA 92037",LA JOLLA,92037,858-535-9700,Permit Renewed,32.8699745,-117.2331185,2002-05-05,0.70
211923931942,LITTLE HOUSE FOOD,Restaurant Food Facility,"3251 HOLIDAY CT 206, LA JOLLA, CA 92037-0024",LA JOLLA,92037-0024,858-202-1333,Permit Renewed,32.8699745,-117.2331185,2022-05-09,0.70
211927767596,MUSASHI,Restaurant Food Facility,"3211 HOLIDAY CT, SUITE# 101A, LA JOLLA, CA 92037",LA JOLLA,92037,858-587-9848,Permit Renewed,32.8699745,-117.2331185,2017-12-15,0.70
211973223947,PHO LA JOLLA,Restaurant Food Facility,"3211 HOLIDAY CT, LA JOLLA, CA 92037",LA JOLLA,92037,858-587-4688,Permit Renewed,32.8699745,-117.2331185,2014-10-21,0.70
211991576163,SPIRITS OF ST GERMAIN,Retail Market with Deli,"3251 HOLIDAY CT, SUITE# 101, LA JOLLA, CA 92037-1803",LA JOLLA,92037-1803,858-455-1414,Permit Renewed,32.8699745,-117.2331185,2022-06-02,0.70
211997763315,CANTEEN COMPASS GROUP-LA JOLLA INSTITUTE OF ALLERGY,Pre-Packaged Retail Market,"9420 ATHENA CIR, LA JOLLA, CA 92037-1387",LA JOLLA,92037-1387,619-527-1900,Permit Renewed,32.875197,-117.2231779,2015-08-19,0.71
211899340356,THE FLAME BROILER,Restaurant Food Facility,"8867 VILLA LA JOLLA DR 600A, LA JOLLA, CA 92037",LA JOLLA,92037,858-587-8989,Permit Renewed,32.8698553,-117.2358165,2009-05-20,0.72
211971846443,CONSTELLATION CULINARY GROUP,Restaurant Food Facility,"10265 SCIENCE CENTER DR, SAN DIEGO, CA 92121-1117",SAN DIEGO,92121-1117,601-664-3196,Permit Renewed,32.8904474,-117.2309392,2021-04-21,0.74
