inspection_id,violation,major_violation,status,violation_text,correction_type_link,violation_accela,link
6886133,Hot and Cold Water,Y,Out of Compliance - Major,Hot and Cold Water,http://www.sandiegocounty.gov/deh/fhd/ffis/violations/major21.html,21. Hot & cold water available,http://www.sandiegocounty.gov/deh/fhd/ffis/violations/major21.html
6631228,Hot and Cold Water,N,Out of Compliance - Minor,Hot and Cold Water,http://www.sandiegocounty.gov/deh/fhd/ffis/violations/minor21.html,21. Hot & cold water available,http://www.sandiegocounty.gov/deh/fhd/ffis/violations/minor21.html
6357338,Holding Temperatures,N,Out of Compliance - Minor,Holding Temperatures,http://www.sandiegocounty.gov/deh/fhd/ffis/violations/minor07.html,7. Proper hot & cold holding temperatures,http://www.sandiegocounty.gov/deh/fhd/ffis/violations/minor07.html
6939628,Holding Temperatures,Y,Out of Compliance - Major,Holding Temperatures,http://www.sandiegocounty.gov/deh/fhd/ffis/violations/major07.html,7. Proper hot & cold holding temperatures,http://www.sandiegocounty.gov/deh/fhd/ffis/violations/major07.html
6939628,Approved Procedures,N,Out of Compliance - Minor,Approved Procedures,http://www.sandiegocounty.gov/deh/fhd/ffis/violations/minor18.html,18. Compliance with,http://www.sandiegocounty.gov/deh/fhd/ffis/violations/minor18.html
6939628,Warewashing Facilities Maintained,N,Out of Compliance,Warewashing Facilities Maintained,http://www.sandiegocounty.gov/deh/fhd/ffis/violations/grp34.html,"34. Warewashing facilities -installed, maintained, used; Test strips available",http://www.sandiegocounty.gov/deh/fhd/ffis/violations/grp34.html
6939628,"Equipment, Utensils, Linens Storage and Use",N,Out of Compliance,"Equipment, Utensils, Linens Storage and Use",http://www.sandiegocounty.gov/deh/fhd/ffis/violations/grp36.html,"36. Equipment/ Utensils/ Linens - storage, use",http://www.sandiegocounty.gov/deh/fhd/ffis/violations/grp36.html
6648460,Proper Handwashing Facilities,N,Out of Compliance - Minor,Proper Handwashing Facilities,http://www.sandiegocounty.gov/deh/fhd/ffis/violations/minor06.html,6. Adequate handwashing facilities supplied & accessible,http://www.sandiegocounty.gov/deh/fhd/ffis/violations/minor06.html
6648460,Approved Procedures,N,Out of Compliance - Minor,Approved Procedures,http://www.sandiegocounty.gov/deh/fhd/ffis/violations/minor18.html,18. Compliance with,http://www.sandiegocounty.gov/deh/fhd/ffis/violations/minor18.html
6648460,"Premises, Vermin-proofing, Personal/Cleaning Items",N,Out of Compliance,"Premises, Vermin-proofing, Personal/Cleaning Items",http://www.sandiegocounty.gov/deh/fhd/ffis/violations/grp44.html,"44. Premises, personal / cleaning items, vermin-proofing",http://www.sandiegocounty.gov/deh/fhd/ffis/violations/grp44.html
6414179,Food Contact Surfaces,N,Out of Compliance - Minor,Food Contact Surfaces,http://www.sandiegocounty.gov/deh/fhd/ffis/violations/minor14.html,14. Food contact surfaces clean & sanitized,http://www.sandiegocounty.gov/deh/fhd/ffis/violations/minor14.html
6391850,Food Handler Training,N,Out of Compliance - Minor,Food Handler Training,http://www.sandiegocounty.gov/deh/fhd/ffis/violations/minor01b.html,1b. Food Handler Training,http://www.sandiegocounty.gov/deh/fhd/ffis/violations/minor01b.html
6391850,Holding Temperatures,N,Out of Compliance - Minor,Holding Temperatures,http://www.sandiegocounty.gov/deh/fhd/ffis/violations/minor07.html,7. Proper hot & cold holding temperatures,http://www.sandiegocounty.gov/deh/fhd/ffis/violations/minor07.html
6391850,Food Separated and Protected,N,Out of Compliance,Food Separated and Protected,http://www.sandiegocounty.gov/deh/fhd/ffis/violations/grp27.html,27. Food separated and protected,http://www.sandiegocounty.gov/deh/fhd/ffis/violations/grp27.html
6391850,Fruits and Vegetables Washed,N,Out of Compliance,Fruits and Vegetables Washed,http://www.sandiegocounty.gov/deh/fhd/ffis/violations/grp28.html,28. Fruits & vegetables washed,http://www.sandiegocounty.gov/deh/fhd/ffis/violations/grp28.html
6391850,Ventilation and Lighting,N,Out of Compliance,Ventilation and Lighting,http://www.sandiegocounty.gov/deh/fhd/ffis/violations/grp38.html,"38. Adequate ventilation/ Lighting - designated areas, use",http://www.sandiegocounty.gov/deh/fhd/ffis/violations/grp38.html
6391850,Wiping Cloths,N,Out of Compliance,Wiping Cloths,http://www.sandiegocounty.gov/deh/fhd/ffis/violations/grp40.html,"40. Wiping cloths -properly used, stored",http://www.sandiegocounty.gov/deh/fhd/ffis/violations/grp40.html
6390639,Food Handler Training,N,Out of Compliance - Minor,Food Handler Training,http://www.sandiegocounty.gov/deh/fhd/ffis/violations/minor01b.html,1b. Food Handler Training,http://www.sandiegocounty.gov/deh/fhd/ffis/violations/minor01b.html
6390639,Approved Procedures,Y,Out of Compliance - Major,Approved Procedures,http://www.sandiegocounty.gov/deh/fhd/ffis/violations/major18.html,18. Compliance with,http://www.sandiegocounty.gov/deh/fhd/ffis/violations/major18.html
6390639,Food Properly Labeled & Honestly Presented,N,Out of Compliance,Food Properly Labeled & Honestly Presented,http://www.sandiegocounty.gov/deh/fhd/ffis/violations/grp32.html,32. Food properly labeled & honestly presented,http://www.sandiegocounty.gov/deh/fhd/ffis/violations/grp32.html
