PID,Question 1 (5.0 pts),Question 2 (6.0 pts),Question 3 (8.0 pts),Question 4 (6.0 pts),Question 5 (10.0 pts),Question 6 (6.0 pts),Question 7 (10.0 pts),Question 8 (6.0 pts),Question 9 (9.0 pts),Question 10 (10.0 pts),Question 11 (4.0 pts),Question 12 (7.0 pts)
A99432453,3.0,6.0,8.0,5.0,5.0,6.0,4.0,3.0,4.0,4.0,4.0,4.0
A99152420,5.0,6.0,8.0,5.0,10.0,6.0,9.0,6.0,4.0,10.0,4.0,5.0
A99892710,3.0,5.0,8.0,4.0,4.0,5.0,3.0,6.0,9.0,9.0,4.0,7.0
A99381181,,,,,,,,,,,,
A99990217,4.0,6.0,8.0,6.0,7.0,6.0,7.0,5.0,9.0,4.0,4.0,7.0
A99787562,5.0,6.0,8.0,6.0,10.0,6.0,10.0,6.0,9.0,10.0,4.0,7.0
A99676635,5.0,6.0,6.0,6.0,3.0,6.0,10.0,6.0,5.0,8.0,3.0,2.0
A99170745,2.0,6.0,7.0,4.0,9.0,6.0,7.0,2.0,1.0,10.0,1.0,7.0
A99991623,4.0,3.0,7.0,5.0,2.0,6.0,8.0,6.0,9.0,10.0,3.0,7.0
A99930150,5.0,3.0,8.0,6.0,10.0,5.0,6.0,6.0,9.0,7.0,4.0,7.0
A99512204,2.0,6.0,4.0,6.0,6.0,3.0,10.0,3.0,9.0,10.0,4.0,7.0
A99278317,5.0,6.0,8.0,3.0,10.0,6.0,10.0,5.0,6.0,4.0,3.0,7.0
A99509569,5.0,4.0,8.0,6.0,4.0,4.0,10.0,6.0,8.0,9.0,4.0,3.0
A99492512,5.0,6.0,5.0,6.0,10.0,6.0,8.0,6.0,9.0,9.0,4.0,4.0
A99285686,5.0,4.0,8.0,6.0,6.0,4.0,10.0,6.0,9.0,9.0,4.0,6.0
A99219589,3.0,5.0,8.0,6.0,5.0,0.0,8.0,4.0,2.0,10.0,4.0,6.0
A99860540,5.0,6.0,5.0,6.0,10.0,6.0,10.0,6.0,9.0,7.0,4.0,7.0
A99006199,4.0,5.0,8.0,2.0,7.0,4.0,6.0,3.0,6.0,3.0,1.0,7.0
A99589329,5.0,6.0,5.0,6.0,8.0,4.0,10.0,4.0,7.0,5.0,4.0,6.0
A99101160,5.0,6.0,8.0,6.0,10.0,6.0,9.0,6.0,9.0,10.0,4.0,7.0
A99772496,5.0,6.0,8.0,6.0,9.0,5.0,10.0,6.0,9.0,9.0,4.0,4.0
A99465192,5.0,6.0,8.0,6.0,10.0,6.0,10.0,6.0,9.0,8.0,4.0,7.0
A99659593,5.0,6.0,7.0,5.0,10.0,6.0,6.0,6.0,9.0,5.0,4.0,3.0
A99675706,5.0,5.0,7.0,3.0,8.0,5.0,10.0,6.0,9.0,8.0,3.0,5.0
A99293363,5.0,6.0,7.0,5.0,4.0,6.0,7.0,6.0,9.0,9.0,4.0,5.0
A99715029,5.0,6.0,8.0,6.0,10.0,6.0,10.0,6.0,9.0,10.0,4.0,7.0
A99226067,2.0,2.0,6.0,4.0,2.0,5.0,7.0,3.0,9.0,6.0,4.0,7.0
A99059458,2.0,6.0,6.0,5.0,6.0,6.0,6.0,4.0,9.0,3.0,3.0,7.0
A99305717,2.0,3.0,5.0,2.0,10.0,5.0,9.0,6.0,9.0,4.0,3.0,4.0
A99690544,5.0,6.0,8.0,6.0,8.0,6.0,7.0,5.0,5.0,10.0,4.0,4.0
A99656504,1.0,5.0,6.0,6.0,9.0,6.0,6.0,4.0,8.0,3.0,4.0,7.0
A99413193,4.0,5.0,8.0,2.0,10.0,6.0,9.0,6.0,9.0,1.0,3.0,7.0
A99217669,5.0,5.0,8.0,6.0,7.0,5.0,8.0,6.0,9.0,10.0,4.0,6.0
A99264628,5.0,6.0,8.0,6.0,10.0,6.0,9.0,6.0,9.0,10.0,4.0,7.0
A99453860,5.0,4.0,6.0,6.0,8.0,3.0,10.0,6.0,9.0,7.0,4.0,2.0
A99718544,5.0,6.0,8.0,6.0,7.0,6.0,9.0,6.0,9.0,10.0,4.0,7.0
A99473561,2.0,0.0,0.0,1.0,5.0,6.0,7.0,2.0,6.0,10.0,3.0,7.0
A99709028,2.0,5.0,8.0,6.0,7.0,5.0,10.0,6.0,5.0,10.0,3.0,7.0
A99659024,3.0,4.0,5.0,6.0,7.0,6.0,7.0,6.0,9.0,10.0,4.0,7.0
A99565442,5.0,6.0,5.0,4.0,10.0,4.0,6.0,6.0,9.0,5.0,4.0,5.0
A99538160,5.0,6.0,6.0,6.0,3.0,4.0,3.0,5.0,8.0,2.0,1.0,2.0
A99600090,5.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,9.0,10.0,4.0,6.0
A99575910,5.0,6.0,7.0,5.0,10.0,6.0,9.0,6.0,6.0,10.0,4.0,7.0
A99653420,5.0,6.0,8.0,6.0,10.0,6.0,10.0,6.0,9.0,9.0,4.0,7.0
A99357022,5.0,6.0,8.0,6.0,6.0,6.0,10.0,6.0,7.0,10.0,4.0,5.0
A99505703,4.0,6.0,2.0,3.0,4.0,6.0,2.0,6.0,6.0,10.0,4.0,7.0
A99536906,5.0,6.0,8.0,6.0,10.0,6.0,8.0,6.0,9.0,10.0,4.0,5.0
A99453518,5.0,5.0,8.0,6.0,7.0,5.0,5.0,5.0,5.0,9.0,4.0,7.0
A99026712,3.0,6.0,5.0,5.0,5.0,6.0,10.0,6.0,9.0,7.0,3.0,4.0
A99399192,5.0,6.0,6.0,6.0,10.0,6.0,9.0,6.0,9.0,10.0,4.0,7.0
A99464434,5.0,5.0,8.0,6.0,10.0,5.0,10.0,6.0,4.0,7.0,4.0,6.0
A99158278,4.0,6.0,8.0,6.0,2.0,6.0,9.0,4.0,3.0,5.0,4.0,7.0
A99811275,5.0,6.0,8.0,6.0,4.0,3.0,5.0,6.0,9.0,4.0,4.0,7.0
A99354539,4.0,6.0,3.0,5.0,8.0,6.0,7.0,6.0,9.0,6.0,4.0,6.0
A99152955,5.0,5.0,8.0,6.0,10.0,5.0,10.0,6.0,9.0,9.0,4.0,7.0
A99120173,5.0,6.0,5.0,6.0,7.0,6.0,9.0,6.0,7.0,10.0,4.0,7.0
A99688028,5.0,6.0,8.0,6.0,7.0,6.0,10.0,6.0,7.0,10.0,4.0,7.0
A99678684,5.0,6.0,8.0,6.0,10.0,6.0,9.0,6.0,9.0,10.0,4.0,7.0
A99604013,3.0,5.0,8.0,4.0,4.0,5.0,3.0,6.0,9.0,10.0,4.0,7.0
A99625175,3.0,1.0,8.0,5.0,9.0,6.0,10.0,1.0,7.0,1.0,2.0,4.0
A99451838,5.0,5.0,3.0,6.0,10.0,6.0,6.0,6.0,9.0,5.0,4.0,7.0
A99524149,5.0,6.0,8.0,6.0,5.0,6.0,10.0,6.0,9.0,7.0,4.0,7.0
A99484975,4.0,6.0,8.0,5.0,5.0,3.0,6.0,6.0,9.0,10.0,2.0,7.0
A99850135,4.0,2.0,8.0,6.0,2.0,5.0,8.0,5.0,7.0,7.0,2.0,5.0
A99328319,5.0,3.0,8.0,6.0,5.0,3.0,5.0,5.0,8.0,10.0,2.0,4.0
A99922626,5.0,3.0,6.0,5.0,10.0,6.0,6.0,6.0,9.0,10.0,4.0,7.0
A99031942,5.0,6.0,5.0,6.0,10.0,6.0,7.0,6.0,3.0,10.0,4.0,5.0
A99610080,5.0,6.0,4.0,5.0,8.0,6.0,8.0,5.0,8.0,7.0,4.0,7.0
A99976381,5.0,6.0,8.0,6.0,8.0,6.0,10.0,6.0,9.0,7.0,4.0,7.0
A99467853,,,,,,,,,,,,
A99734921,3.0,5.0,8.0,4.0,7.0,4.0,7.0,6.0,6.0,3.0,4.0,5.0
A99121073,5.0,6.0,8.0,6.0,6.0,6.0,10.0,6.0,3.0,5.0,3.0,7.0
A99741577,2.0,4.0,8.0,2.0,0.0,2.0,6.0,4.0,9.0,8.0,1.0,1.0
A99853966,5.0,6.0,6.0,6.0,8.0,6.0,10.0,4.0,9.0,5.0,4.0,6.0
A99351423,5.0,6.0,8.0,6.0,10.0,6.0,7.0,6.0,9.0,6.0,4.0,4.0
A99600940,5.0,2.0,3.0,6.0,3.0,5.0,10.0,4.0,9.0,7.0,4.0,7.0
A99087453,4.0,6.0,8.0,5.0,3.0,5.0,8.0,6.0,9.0,10.0,3.0,3.0
A99915282,5.0,6.0,8.0,6.0,7.0,3.0,10.0,3.0,9.0,8.0,4.0,3.0
A99747041,5.0,6.0,8.0,6.0,10.0,6.0,10.0,6.0,7.0,10.0,4.0,7.0
A99302544,5.0,6.0,7.0,6.0,4.0,6.0,10.0,6.0,8.0,10.0,4.0,7.0
A99479030,5.0,6.0,6.0,6.0,8.0,6.0,3.0,4.0,4.0,4.0,2.0,3.0
A99337484,5.0,6.0,8.0,6.0,10.0,5.0,6.0,6.0,7.0,9.0,4.0,7.0
A99311132,5.0,4.0,6.0,6.0,7.0,6.0,8.0,6.0,5.0,10.0,4.0,7.0
A99828360,5.0,5.0,7.0,6.0,8.0,6.0,10.0,6.0,4.0,3.0,4.0,5.0
A99275005,3.0,6.0,3.0,4.0,10.0,4.0,10.0,6.0,9.0,5.0,4.0,5.0
A99477620,5.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,9.0,9.0,4.0,7.0
A99928159,5.0,5.0,4.0,4.0,10.0,6.0,10.0,6.0,9.0,10.0,4.0,4.0
A99041528,5.0,6.0,8.0,6.0,10.0,6.0,10.0,6.0,9.0,7.0,4.0,7.0
A99077511,5.0,4.0,2.0,6.0,10.0,6.0,5.0,6.0,9.0,5.0,4.0,7.0
A99971953,3.0,3.0,8.0,5.0,4.0,4.0,10.0,3.0,3.0,6.0,4.0,6.0
A99177632,5.0,6.0,8.0,6.0,7.0,2.0,10.0,5.0,3.0,10.0,4.0,7.0
A99401601,5.0,6.0,8.0,6.0,5.0,6.0,10.0,6.0,7.0,10.0,4.0,5.0
A99427118,3.0,6.0,2.0,4.0,4.0,6.0,3.0,4.0,8.0,10.0,3.0,7.0
A99705260,5.0,6.0,7.0,6.0,7.0,6.0,8.0,6.0,8.0,8.0,4.0,7.0
A99532389,5.0,5.0,8.0,6.0,8.0,5.0,7.0,4.0,7.0,4.0,4.0,7.0
A99645522,5.0,3.0,8.0,4.0,10.0,6.0,6.0,6.0,4.0,6.0,4.0,7.0
A99813051,5.0,6.0,8.0,6.0,9.0,6.0,10.0,6.0,4.0,10.0,4.0,6.0
A99471668,5.0,6.0,8.0,6.0,10.0,6.0,10.0,6.0,9.0,10.0,4.0,7.0
A99653302,5.0,6.0,6.0,6.0,3.0,6.0,10.0,5.0,4.0,8.0,3.0,2.0
A99090510,5.0,2.0,8.0,6.0,5.0,1.0,2.0,6.0,9.0,0.0,1.0,0.0
A99547146,5.0,5.0,8.0,6.0,6.0,6.0,4.0,6.0,8.0,10.0,4.0,7.0
A99833505,5.0,3.0,6.0,6.0,3.0,6.0,5.0,3.0,6.0,4.0,4.0,2.0
A99515635,5.0,1.0,5.0,2.0,3.0,6.0,1.0,6.0,5.0,9.0,4.0,7.0
A99306724,3.0,5.0,3.0,5.0,3.0,6.0,6.0,4.0,9.0,3.0,4.0,7.0
A99599711,4.0,5.0,8.0,6.0,10.0,6.0,6.0,6.0,9.0,6.0,4.0,6.0
A99088040,4.0,3.0,1.0,2.0,10.0,4.0,10.0,6.0,9.0,10.0,2.0,3.0
A99393779,2.0,2.0,5.0,2.0,10.0,6.0,6.0,3.0,6.0,3.0,3.0,7.0
A99541515,5.0,6.0,8.0,6.0,6.0,6.0,9.0,5.0,2.0,9.0,2.0,4.0
A99432491,5.0,5.0,8.0,4.0,8.0,5.0,9.0,6.0,4.0,9.0,4.0,5.0
A99215099,5.0,6.0,8.0,6.0,10.0,6.0,10.0,6.0,9.0,8.0,4.0,7.0
A99895917,5.0,5.0,8.0,6.0,8.0,6.0,8.0,5.0,8.0,5.0,4.0,7.0
A99069397,5.0,4.0,4.0,6.0,6.0,4.0,3.0,6.0,9.0,10.0,4.0,6.0
A99871576,4.0,6.0,4.0,4.0,10.0,5.0,7.0,6.0,5.0,10.0,3.0,7.0
A99146887,5.0,5.0,8.0,6.0,10.0,6.0,7.0,6.0,6.0,9.0,4.0,7.0
A99142126,4.0,6.0,8.0,6.0,9.0,6.0,3.0,3.0,9.0,9.0,4.0,7.0
A99159214,5.0,5.0,8.0,6.0,7.0,6.0,5.0,6.0,8.0,10.0,4.0,6.0
A99078383,4.0,6.0,8.0,5.0,5.0,6.0,4.0,4.0,5.0,5.0,4.0,5.0
A99704673,5.0,6.0,8.0,6.0,8.0,6.0,6.0,6.0,6.0,10.0,4.0,7.0
A99268867,5.0,6.0,8.0,6.0,10.0,6.0,10.0,6.0,9.0,10.0,4.0,7.0
A99941362,5.0,1.0,2.0,5.0,4.0,2.0,1.0,6.0,9.0,10.0,2.0,3.0
A99354806,4.0,6.0,5.0,6.0,10.0,5.0,7.0,6.0,9.0,10.0,4.0,7.0
A99877522,5.0,6.0,4.0,4.0,8.0,6.0,7.0,6.0,9.0,4.0,4.0,7.0
A99977901,4.0,4.0,8.0,5.0,9.0,2.0,8.0,1.0,9.0,10.0,0.0,6.0
A99994501,5.0,2.0,8.0,6.0,10.0,6.0,10.0,2.0,8.0,2.0,3.0,6.0
A99671971,2.0,6.0,4.0,6.0,10.0,5.0,7.0,6.0,8.0,6.0,3.0,7.0
A99368029,5.0,6.0,6.0,6.0,3.0,6.0,3.0,6.0,9.0,7.0,4.0,4.0
A99156116,4.0,4.0,4.0,6.0,1.0,6.0,10.0,5.0,4.0,8.0,4.0,6.0
A99054168,5.0,3.0,8.0,4.0,8.0,5.0,8.0,3.0,9.0,10.0,3.0,7.0
A99326575,5.0,5.0,8.0,4.0,10.0,4.0,7.0,6.0,9.0,5.0,4.0,4.0
A99822771,4.0,6.0,8.0,3.0,10.0,4.0,10.0,6.0,9.0,10.0,4.0,7.0
A99581452,5.0,6.0,8.0,6.0,10.0,6.0,10.0,6.0,9.0,10.0,4.0,7.0
A99396913,5.0,6.0,8.0,6.0,10.0,6.0,10.0,6.0,9.0,10.0,4.0,7.0
A99076268,5.0,6.0,8.0,6.0,6.0,6.0,9.0,6.0,9.0,7.0,4.0,5.0
A99718695,3.0,6.0,8.0,6.0,10.0,6.0,10.0,6.0,9.0,5.0,4.0,7.0
A99356598,5.0,5.0,8.0,5.0,6.0,6.0,4.0,6.0,8.0,10.0,4.0,7.0
A99446073,4.0,3.0,5.0,5.0,3.0,3.0,10.0,4.0,8.0,3.0,4.0,7.0
A99591842,5.0,4.0,5.0,6.0,5.0,6.0,5.0,4.0,9.0,8.0,4.0,7.0
A99955905,4.0,6.0,4.0,5.0,10.0,5.0,7.0,6.0,5.0,10.0,3.0,7.0
A99761150,5.0,5.0,8.0,6.0,5.0,6.0,8.0,6.0,6.0,7.0,4.0,7.0
A99404117,5.0,6.0,8.0,6.0,10.0,6.0,10.0,6.0,9.0,6.0,4.0,7.0
A99531845,5.0,5.0,8.0,6.0,9.0,5.0,10.0,6.0,8.0,5.0,4.0,5.0
A99425223,5.0,4.0,8.0,4.0,8.0,5.0,9.0,6.0,4.0,8.0,4.0,4.0
A99432920,5.0,6.0,5.0,5.0,10.0,4.0,10.0,6.0,5.0,6.0,4.0,7.0
A99368334,3.0,6.0,8.0,6.0,7.0,6.0,7.0,5.0,9.0,4.0,4.0,7.0
A99218475,4.0,6.0,8.0,6.0,8.0,5.0,3.0,4.0,6.0,7.0,4.0,7.0
A99133973,5.0,6.0,7.0,6.0,7.0,6.0,10.0,6.0,8.0,6.0,4.0,5.0
A99570934,5.0,6.0,8.0,6.0,10.0,6.0,10.0,6.0,5.0,5.0,4.0,7.0
A99198021,5.0,3.0,5.0,5.0,10.0,6.0,10.0,5.0,9.0,4.0,4.0,7.0
A99119476,5.0,6.0,6.0,6.0,10.0,6.0,10.0,6.0,5.0,10.0,4.0,7.0
A99678484,5.0,6.0,7.0,6.0,9.0,6.0,4.0,6.0,4.0,10.0,4.0,5.0
A99673095,5.0,6.0,8.0,6.0,9.0,6.0,9.0,6.0,7.0,10.0,4.0,7.0
A99073025,5.0,4.0,7.0,6.0,4.0,6.0,7.0,5.0,8.0,6.0,4.0,3.0
A99488919,5.0,6.0,8.0,6.0,10.0,6.0,9.0,6.0,9.0,8.0,4.0,7.0
A99918886,5.0,6.0,8.0,6.0,9.0,6.0,10.0,6.0,9.0,10.0,4.0,7.0
A99521785,4.0,1.0,7.0,1.0,7.0,6.0,10.0,6.0,1.0,7.0,2.0,7.0
A99975877,5.0,6.0,5.0,6.0,10.0,3.0,10.0,5.0,5.0,6.0,4.0,2.0
A99883254,5.0,6.0,8.0,6.0,10.0,6.0,10.0,6.0,4.0,10.0,4.0,7.0
A99803516,5.0,2.0,8.0,6.0,4.0,2.0,5.0,5.0,8.0,10.0,1.0,3.0
A99725232,5.0,6.0,8.0,6.0,10.0,6.0,10.0,6.0,9.0,10.0,4.0,7.0
A99694766,5.0,6.0,4.0,3.0,8.0,4.0,4.0,6.0,9.0,3.0,4.0,1.0
A99392053,5.0,5.0,3.0,6.0,10.0,6.0,5.0,6.0,8.0,6.0,4.0,7.0
A99563587,4.0,6.0,3.0,4.0,5.0,6.0,3.0,6.0,6.0,10.0,4.0,7.0
A99183358,5.0,6.0,6.0,4.0,9.0,5.0,5.0,6.0,9.0,4.0,4.0,2.0
A99611484,5.0,6.0,8.0,6.0,10.0,4.0,10.0,6.0,9.0,5.0,4.0,5.0
A99336610,5.0,6.0,5.0,6.0,6.0,6.0,9.0,6.0,9.0,5.0,4.0,7.0
A99899251,3.0,6.0,4.0,6.0,10.0,5.0,7.0,6.0,8.0,6.0,4.0,7.0
A99713530,5.0,4.0,6.0,6.0,4.0,4.0,10.0,5.0,9.0,4.0,4.0,7.0
A99903882,5.0,6.0,8.0,6.0,9.0,4.0,5.0,6.0,9.0,9.0,4.0,7.0
A99583699,5.0,6.0,8.0,6.0,9.0,6.0,10.0,6.0,9.0,10.0,4.0,7.0
A99384291,5.0,3.0,5.0,6.0,8.0,3.0,9.0,5.0,9.0,7.0,4.0,7.0
A99434139,5.0,6.0,8.0,6.0,10.0,6.0,10.0,6.0,9.0,10.0,4.0,7.0
A99237411,4.0,3.0,8.0,6.0,10.0,2.0,10.0,6.0,8.0,4.0,4.0,6.0
A99509446,5.0,4.0,7.0,6.0,6.0,5.0,4.0,6.0,7.0,10.0,4.0,5.0
A99272538,1.0,3.0,1.0,6.0,10.0,4.0,4.0,4.0,9.0,5.0,2.0,0.0
A99277895,4.0,6.0,6.0,6.0,7.0,6.0,6.0,3.0,6.0,8.0,3.0,7.0
A99622000,5.0,6.0,5.0,6.0,5.0,4.0,8.0,3.0,5.0,10.0,3.0,7.0
A99578480,5.0,6.0,7.0,6.0,10.0,6.0,10.0,6.0,6.0,10.0,4.0,5.0
A99149255,5.0,6.0,6.0,6.0,10.0,5.0,10.0,6.0,9.0,8.0,4.0,7.0
A99230041,4.0,6.0,8.0,3.0,10.0,6.0,5.0,5.0,9.0,5.0,4.0,6.0
A99339034,2.0,6.0,6.0,5.0,7.0,4.0,2.0,3.0,5.0,6.0,4.0,6.0
A99729300,5.0,6.0,8.0,6.0,10.0,6.0,7.0,6.0,9.0,6.0,4.0,6.0
A99712347,5.0,4.0,4.0,6.0,4.0,6.0,10.0,5.0,9.0,8.0,4.0,7.0
A99985778,5.0,3.0,8.0,6.0,3.0,6.0,9.0,6.0,8.0,7.0,3.0,6.0
A99487159,5.0,6.0,6.0,6.0,6.0,6.0,10.0,6.0,9.0,6.0,4.0,7.0
A99185365,5.0,6.0,7.0,6.0,8.0,6.0,4.0,5.0,9.0,10.0,3.0,5.0
A99675787,5.0,6.0,8.0,4.0,7.0,6.0,3.0,6.0,9.0,4.0,4.0,7.0
A99871763,5.0,6.0,2.0,6.0,6.0,4.0,5.0,4.0,8.0,7.0,4.0,5.0
A99318825,5.0,6.0,8.0,6.0,10.0,6.0,10.0,6.0,9.0,5.0,4.0,7.0
A99394122,5.0,5.0,8.0,6.0,10.0,6.0,6.0,6.0,9.0,8.0,4.0,6.0
A99254768,5.0,6.0,8.0,6.0,7.0,2.0,9.0,3.0,9.0,8.0,4.0,3.0
A99014767,5.0,6.0,8.0,6.0,5.0,6.0,10.0,6.0,9.0,3.0,4.0,7.0
A99071510,3.0,5.0,8.0,3.0,1.0,3.0,6.0,4.0,9.0,8.0,2.0,2.0
A99407199,3.0,6.0,2.0,5.0,8.0,6.0,6.0,6.0,8.0,5.0,4.0,5.0
A99051778,5.0,3.0,4.0,3.0,5.0,5.0,10.0,3.0,9.0,10.0,4.0,7.0
A99505023,5.0,4.0,8.0,5.0,8.0,4.0,7.0,5.0,9.0,5.0,4.0,7.0
A99732298,5.0,4.0,3.0,6.0,10.0,6.0,6.0,6.0,9.0,5.0,4.0,7.0
A99835919,5.0,4.0,8.0,6.0,4.0,6.0,10.0,6.0,9.0,8.0,3.0,6.0
A99479714,2.0,6.0,8.0,6.0,6.0,6.0,4.0,6.0,9.0,10.0,3.0,7.0
A99392656,4.0,4.0,8.0,4.0,10.0,6.0,10.0,6.0,9.0,10.0,4.0,6.0
A99491048,5.0,5.0,8.0,6.0,5.0,6.0,8.0,6.0,6.0,7.0,4.0,7.0
A99038387,5.0,6.0,8.0,6.0,10.0,6.0,10.0,6.0,9.0,10.0,4.0,7.0
A99630954,5.0,3.0,8.0,2.0,8.0,4.0,6.0,6.0,9.0,4.0,4.0,2.0
A99955246,5.0,6.0,3.0,4.0,6.0,6.0,4.0,6.0,7.0,10.0,4.0,7.0
A99749431,5.0,6.0,8.0,5.0,10.0,6.0,7.0,6.0,5.0,10.0,4.0,7.0
A99835088,4.0,6.0,8.0,2.0,4.0,5.0,10.0,4.0,8.0,5.0,4.0,5.0
A99720730,5.0,6.0,8.0,6.0,9.0,3.0,7.0,6.0,5.0,5.0,4.0,5.0
A99537980,5.0,5.0,8.0,6.0,9.0,6.0,8.0,6.0,9.0,6.0,4.0,7.0
